Produit_5000,Product,KERR'S MENTHE CHOCOLAT,12X175 G,,Produits Secs;Taxes,9032319,,32.01,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5001,Product,KERR'S FRUIT CENTRE MOU DELUXE,12X175 G,,Produits Secs;Taxes,9032327,,32.01,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5002,Product,KERR'S ECLAIR STYLE FUDGE ASST,12X175 G,,Produits Secs;Taxes,9032335,,32.01,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5003,Product,KERR'S TOFFEE CREM&BEURRE ASST,12X175 G,,Produits Secs;Taxes,9032350,,32.01,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5004,Product,KERR'S MTH.ECOSSAISE BLC.RONDE,12X200 G,,Produits Secs;Taxes,9032368,,32.01,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5005,Product,KERR'S MTH ECOS.THE BOIS RONDE,12X180 G,,Produits Secs;Taxes,9032376,,32.01,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5006,Product,KERR'S MTH.RAYE BLC.ROUGE&VERT,12X200 G,,Produits Secs;Taxes,9032384,,32.01,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5007,Product,KERR'S MENTHE BLANCHE,12X200 G,,Produits Secs;Taxes,9032434,,32.01,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5008,Product,KERR'S MENTHE ROSE,12X200 G,,Produits Secs;Taxes,9032442,,32.01,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5009,Product,GRANDMA TIRE STE-CATHERINE,24X400 G,,Produits Secs;Taxes,9034042,,192.41,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5010,Product,SELECTION ARACHIDE SAVEUR SALE,6X800 G,,Produits Secs;Taxes,9060013,,37.82,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5011,Product,SELECTION ARACHIDE SAVEUR BBQ,6X800 G,,Produits Secs;Taxes,9060039,,37.82,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
